اسم المنتج,الكود الموحّد,سعر التكلفة,أقصى قيمة الدعم
BLACK- RECHARGE 200 ML,155,18.0562953801834,30.6937046198166
BLACK- RECHARGE 700 ML,154,50.0220338306419,73.7279661693581
CRYSTAL-DOOM 100 ML,142,7.55275311438278,22.44724688561722
CRYSTAL-DOOM 1 LITRE,117,39.9772298980747,40.0227701019253
CRYSTAL-DOOM 4 LITRE,118,145.721207093623,154.278792906377
CRYSTAL-DOOM 50 ML,143,4.90137655719139,13.84862344280861
DEEP BLACK 1 LITRE,84,53.5245669157894,72.47543308421061
DEEP BLACK 200 ML,150,17.0278681074561,27.9721318925439
D- WAX 100 ML,137,9.44929351891497,24.30070648108503
D- WAX 1 LITRE ,88,58.1840177815837,53.3159822184163
D- WAX 200 ML,136,15.1985870378299,37.3014129621701
D- WAX 4 LITRE ,87,218.250026261785,164.249973738215
D- WAX 50 ML,138,5.84964675945748,12.90035324054252
ECO-WAX 100 ML,140,7.54997222818867,22.450027771811328
ECO-WAX 200 ML,139,11.3999444563773,30.1000555436227
ECO-WAX 50 ML,141,4.89998611409433,11.600013885905671
ENGINE-GAURD-LIMITED 1 LITRE,129,64.894941355695,81.105058644305
ENGINE-GAURD-UNLIMITED 1 LITRE,129,124.374486478882,125.625513521118
EXPRESS-TOUCH 1 LITRE,120,126.305574463982,48.694425536018
GLOW-AWAY 100 ML,152,8.69125,17.55875
GLOW-AWAY 200 ML,151,13.6825,23.817500000000003
MAGNATIC-SHEILD 4  LITRE,91,198.063288747077,111.936711252923
MAX-EFFECT 100 ML,146,7.81557488553369,14.684425114466311
MAX-EFFECT 1 LITRE,108,42.5782103734158,67.4217896265842
pistol 700,106,30.0530474407473,22.4469525592527
SHAMPOO-WAX-LIMITED 1 LITRE,144,23.1332684549689,10.6167315450311
SHAMPOO-WAX-LIMITED 4 LITRE,89,79.5871930479964,47.912806952003606
SHAMPOO-WAX-UNLIMITED 1 LITRE,144,25.0817379739259,68.6682620260741
SHAMPOO-WAX-UNLIMITED 200 ML,145,7.09634759478519,22.90365240521481
SHINE&SHIELD 700 ML,153,26.9746623170099,74.2753376829901
SUPER NOVA 100 ML,134,12.3692505648204,25.130749435179602
SUPER NOVA 1 LITRE,94,86.2156054222763,58.7843945777237
SUPER NOVA 200 ML,133,21.0385011296409,38.9614988703591
SUPER NOVA 4 LITRE,93,329.319371931495,195.68062806850497
SUPER NOVA 50 ML,135,7.30962528241022,15.19037471758978
ULTRA MAX GREEN 1 LITRE,86,52.7341562749901,58.7658437250099
ULTRA MAX GREEN 200 ML,147,16.8631992239562,16.8868007760438
ULTRA MAX GREEN 4 LITRE,85,196.217374002247,160.782625997753
ULTRA SHINE 1 LITRE,82,112.464898928655,14.535101071344997
ULTRA SHINE 200 ML,149,28.4108500378388,24.0891499621612
ULTRA SHINE 4 LITRE,81,437.228962070226,152.77103792977402
ULTRA SHINE 700 ML,148,87.137975132436,51.612024867564
