كود المنتج,اسم المنتج,بند العناية,سعر التكلفة,سعر البيع
106,pistol 700,الموتور,52.5,75.0
108,MAX EFFECT 1 L NEW,الفرش,110.0,200.0
109,MAX EFFECTE 4  L NEW,الفرش,460.0,750.0
116,ENGINE GAURD LIMETED 1 L,الموتور,146.0,200.0
117,CRYSTAL DOOM 1 L,خارجى,125.0,200.0
118,CRYSTAL DOOM 4 L,خارجى,300.0,725.0
119,eco wax,التابلو,290.0,350.0
120,express touch 1 l,التابلو,180.0,325.0
121,wind shield 1 l,خارجى,16.667,40.0
128,eco wax 1 k.g,التابلو,75.0,120.0
129,engine gaurd unlimited 1 li,الموتور,250.0,350.0
17,ENGINE GAURD,الموتور,540.0,910.0
187,GRAPHITE HIGHT END 85/20,الكاوتش,200.0,850.0
188,GRAPHITE SELECTED 70/30,الكاوتش,200.0,850.0
189,GRAPHITE CLASSIC 125/13,الكاوتش,200.0,850.0
81,ULTRA SHINE 4 L NEW,الكاوتش,590.0,750.0
82,ULTRA SHINE 1 L NEW,الكاوتش,127.0,200.0
83,DEEP BLACK 4 L NEW,الكاوتش,465.0,600.0
84,DEEP BLACK 1 L NEW,الكاوتش,126.0,165.0
85,ULTRA MAX GREEN 4 L,الفرش,357.0,600.0
86,ULTRA MAX GREEN 1 L NEW,الفرش,111.5,175.0
87,D-WAX 4 L NEW,التابلو,382.5,600.0
88,D-WAX 1 L NEW,التابلو,111.5,175.0
89,SHAMPOO WAX 4 L NEW,خارجى,127.5,200.0
90,SHAMPOO WAX 1 L NEW,خارجى,33.75,60.0
91,MAGNATIC SHIELD 4 L NEW,الموتور,310.0,525.0
92,MAGNATICE SHIELD 1 L NEW,الموتور,82.5,150.0
93,super nova 4l new,التابلو,525.0,775.0
94,SUPER NOVA 1 L NEW,التابلو,145.0,200.0
100,فوطة جلد غزال صغير,تولز,25.0,45.0
122,فوطة فريكلا وش واحد,تولز,20.0,30.0
161,فوطة ماكرو رمادى,تولز,80.0,125.0
165,فوطة 35*70اوتو,تولز,35.0,50.0
166,فوطة 40*75 اوتو,تولز,40.0,55.0
167,فوطة 30*60 اوتو,تولز,25.0,40.0
169,فوطة 40*40 اكس اوتو,تولز,30.0,45.0
172,سفنجة شرشوبة اوتو,تولز,35.0,50.0
173,سفنجة مصرى اوتو,تولز,20.0,35.0
195,فوطة 30*40 حز احمر,تولز,30.0,45.0
196,فوطة 40*40 حز احمر,تولز,40.0,60.0
197,فوطة ماركات,تولز,19.5,30.0
198,فوطة زجاج ابيض كبير,تولز,40.0,60.0
199,فوطة زجاج ابيض صغير,تولز,25.0,40.0
200,فوطة 40*40 مضلع تقيل,تولز,45.0,60.0
201,استيكة فرد نانو,تولز,20.0,30.0
22,فرشة تكييف,تولز,10.0,20.0
26,طقم بوليش 3 قطعة بيد,تولز,35.0,125.0
33,طقم تطويل بفر,تولز,75.0,250.0
40,طقم فرشة 5 قطعة,تولز,40.0,125.0
53,جوانتي خفيف اوتو,تولز,10.0,17.5
63,فوطة جلد غزال كبير,تولز,40.0,75.0
133,super nova 200 ml,التابلو,60.0,80.0
134,super nova 100 ml,التابلو,37.5,50.0
135,super nova 50 ml,التابلو,22.5,30.0
136,d wax 200 ml,التابلو,52.5,70.0
137,d wax 100 ml,التابلو,33.75,45.0
138,d wax 50 ml,التابلو,18.75,25.0
139,eco wax 200 ml,التابلو,41.5,55.0
140,eco wax 100 ml,التابلو,30.0,40.0
141,eco wax 50 ml,التابلو,16.5,22.0
142,crystal doom 100 ml,خارجى,30.0,40.0
143,crystal doom 50 ml,خارجى,18.75,25.0
144,shampoo wax unlimited 1 li,خارجى,93.75,125.0
145,shampoo wax unlimited 200 ml,خارجى,30.0,40.0
146,max effect 100 ml,الفرش,22.5,30.0
147,ultra max green 200 ml,الفرش,33.75,45.0
148,ultra shine 700 ml,الكاوتش,138.75,185.0
149,ultra shine 200 ml,الكاوتش,52.5,70.0
150,deep black 200 ml,الكاوتش,45.0,60.0
151,glow away 200 ml,خارجى,37.5,50.0
152,glow away 100 ml,خارجى,26.25,35.0
153,shine &shield 700 ml,خارجى,101.25,135.0
154,black recharge 700 ml,خارجى,123.75,165.0
155,black recharge 200 ml,خارجى,48.75,65.0
